,BLUEBOOK,TRAVTIME,INCOME,MVR_PTS,AGE,CLM_AMT
6,17430.0,46.0,125301.0,0.0,34.0,2946.0
8,18930.0,21.0,50815.0,2.0,40.0,6477.0
10,16970.0,44.0,107961.0,10.0,37.0,4021.0
11,11200.0,34.0,62978.0,0.0,34.0,2501.0
13,18300.0,15.0,77100.0,0.0,53.0,6077.0
16,28340.0,64.0,130795.0,3.0,53.0,1267.0
18,6000.0,48.0,0.0,3.0,45.0,2920.0
20,15420.0,45.0,87460.0,4.0,59.0,4111.0
24,8710.0,29.0,44077.0,0.0,28.0,6857.0
25,26560.0,52.0,37214.0,3.0,43.0,3627.0
30,11290.0,16.0,37940.0,0.0,60.0,5247.0
32,10030.0,26.0,31275.0,0.0,32.0,4486.0
36,24000.0,27.0,33212.0,5.0,54.0,4901.0
60,12230.0,20.0,16989.0,13.0,40.0,6100.0
64,10520.0,37.0,16352.0,1.0,44.0,8841.0
66,32340.0,50.0,63952.0,0.0,45.0,2117.0
67,14690.0,26.0,22510.0,0.0,34.0,1230.0
69,14220.0,24.0,24060.0,0.0,44.0,3532.0
70,6880.0,46.0,20822.0,0.0,33.0,866.0
72,2920.0,13.0,14194.0,2.0,34.0,7786.0
76,19510.0,29.0,137103.0,0.0,43.0,4148.0
85,1500.0,25.0,102393.0,2.0,45.0,2371.0
86,9170.0,57.0,40656.0,2.0,62.0,4178.0
90,9640.0,14.0,31773.0,4.0,48.0,1354.0
98,13140.0,32.0,38036.0,4.0,53.0,2425.0
108,11740.0,25.0,0.0,2.0,34.0,5711.0
115,15090.0,14.0,0.0,2.0,33.0,7838.0
118,12840.0,50.0,44705.0,0.0,47.0,5125.0
122,14620.0,23.0,31738.0,0.0,64.0,5085.0
126,7900.0,33.0,64014.0,1.0,52.0,2143.0
128,21100.0,31.0,192089.0,0.0,56.0,6484.0
134,20920.0,28.0,53244.0,1.0,26.0,4028.0
136,32690.0,34.0,126468.0,2.0,41.0,2114.0
141,5260.0,36.0,37580.0,0.0,38.0,8671.0
142,7930.0,10.0,23344.0,1.0,41.0,6287.0
146,16640.0,21.0,110386.0,2.0,41.0,3524.0
157,19750.0,52.0,76159.0,0.0,43.0,1807.0
166,13130.0,35.0,49849.0,4.0,43.0,6158.0
167,15760.0,28.0,12054.0,4.0,39.0,4887.0
169,20350.0,40.0,78936.0,0.0,60.0,5147.0
192,7690.0,37.0,33283.0,2.0,26.0,2214.0
195,13160.0,45.0,136344.0,0.0,42.0,6087.0
203,1500.0,12.0,32936.0,0.0,39.0,3894.0
205,16510.0,36.0,0.0,0.0,45.0,2659.0
212,17880.0,24.0,22181.0,5.0,62.0,3705.0
213,9930.0,36.0,84345.0,3.0,53.0,6693.0
